"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 27 05:43:37 GMT 2023","Mon Mar 27 05:43:48 GMT 2023","11172","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticShotPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Short position overnight fee [7] ar/, CYSEC, ftse-100-uk-market-index",""
"passed","Mon Mar 27 06:41:24 GMT 2023","Mon Mar 27 06:41:34 GMT 2023","9312","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [1] ar/, CYSEC, us-tech-100-index",""
"broken","Mon Mar 27 05:47:21 GMT 2023","Mon Mar 27 05:47:40 GMT 2023","19001","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticShotPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Short position overnight fee [25] ar/, CYSEC, cboe-volatility-index-futures-vxv21-index",""
"passed","Mon Mar 27 06:11:10 GMT 2023","Mon Mar 27 06:11:25 GMT 2023","15244","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [13] ar/, CYSEC, japan-225-index",""
"broken","Mon Mar 27 05:50:15 GMT 2023","Mon Mar 27 05:50:22 GMT 2023","6599","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [11] ar/, CYSEC, us-smallcap-2000-index",""
"broken","Mon Mar 27 06:10:56 GMT 2023","Mon Mar 27 06:10:56 GMT 2023","358","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [6] ar/, CYSEC, msci-singapore-index-25-index",""
"broken","Mon Mar 27 06:10:58 GMT 2023","Mon Mar 27 06:10:58 GMT 2023","239","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [11] ar/, CYSEC, us-smallcap-2000-index",""
"broken","Mon Mar 27 06:17:13 GMT 2023","Mon Mar 27 06:17:38 GMT 2023","25669","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [12] ar/, CYSEC, us-dollar-index",""
"passed","Mon Mar 27 06:43:01 GMT 2023","Mon Mar 27 06:43:10 GMT 2023","9094","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [13] ar/, CYSEC, japan-225-index",""
"broken","Mon Mar 27 05:44:27 GMT 2023","Mon Mar 27 05:44:34 GMT 2023","6999","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticShotPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Short position overnight fee [12] ar/, CYSEC, us-dollar-index",""
"passed","Mon Mar 27 06:41:16 GMT 2023","Mon Mar 27 06:41:24 GMT 2023","8448","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleStillLookingForBrokerYouCanTrust_clickOnBtnUserPlus_SignUpFormWasAppear","Checking user plus button on module 'Still looking for a broker you can trust?' [28] ar/, CYSEC, italy-40-futures-sep-22-index",""
"broken","Mon Mar 27 06:44:57 GMT 2023","Mon Mar 27 06:45:04 GMT 2023","6827","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [28] ar/, CYSEC, italy-40-futures-sep-22-index",""
"broken","Mon Mar 27 06:05:22 GMT 2023","Mon Mar 27 06:05:29 GMT 2023","6806","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [25] ar/, CYSEC, cboe-volatility-index-futures-vxv21-index",""
"broken","Mon Mar 27 06:21:46 GMT 2023","Mon Mar 27 06:22:11 GMT 2023","24889","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [25] ar/, CYSEC, cboe-volatility-index-futures-vxv21-index",""
"passed","Mon Mar 27 06:12:52 GMT 2023","Mon Mar 27 06:13:01 GMT 2023","9161","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [23] ar/, CYSEC, cboe-volatility-index-futures-jul-22-index",""
"passed","Mon Mar 27 06:33:45 GMT 2023","Mon Mar 27 06:33:57 GMT 2023","11749","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [5] ar/, CYSEC, hong-kong-50-index",""
"passed","Mon Mar 27 06:37:03 GMT 2023","Mon Mar 27 06:37:12 GMT 2023","9785","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleStillLookingForBrokerYouCanTrust_clickOnBtnUserPlus_SignUpFormWasAppear","Checking user plus button on module 'Still looking for a broker you can trust?' [1] ar/, CYSEC, us-tech-100-index",""
"passed","Mon Mar 27 06:19:53 GMT 2023","Mon Mar 27 06:20:02 GMT 2023","9020","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [20] ar/, CYSEC, netherlands-exchange-25-index",""
"broken","Mon Mar 27 06:36:56 GMT 2023","Mon Mar 27 06:37:03 GMT 2023","6896","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [28] ar/, CYSEC, italy-40-futures-sep-22-index",""
"passed","Mon Mar 27 06:16:11 GMT 2023","Mon Mar 27 06:16:21 GMT 2023","10516","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [9] ar/, CYSEC, france-40-index",""
"broken","Mon Mar 27 06:09:17 GMT 2023","Mon Mar 27 06:09:23 GMT 2023","6619","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPage_ClickOnBtnAddToFavourite_SignUpFormWasAppear","Check 'Add to favourite' button on title block [25] ar/, CYSEC, cboe-volatility-index-futures-vxv21-index",""
"passed","Mon Mar 27 05:41:48 GMT 2023","Mon Mar 27 05:41:57 GMT 2023","9471","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [28] ar/, CYSEC, italy-40-futures-sep-22-index",""
"broken","Mon Mar 27 06:10:48 GMT 2023","Mon Mar 27 06:10:49 GMT 2023","556","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleWidgetPromoMarket_clickOnBtnTradeNow_SignUpFormWasAppear","Checking buttons 'Trade Now' (4 items) on module widget promo market [15] ar/, CYSEC, ftse-china-a50-index",""
"broken","Mon Mar 27 06:10:45 GMT 2023","Mon Mar 27 06:10:46 GMT 2023","388","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleWidgetPromoMarket_clickOnBtnTradeNow_SignUpFormWasAppear","Checking buttons 'Trade Now' (4 items) on module widget promo market [8] ar/, CYSEC, india-50-index",""
"broken","Mon Mar 27 06:03:26 GMT 2023","Mon Mar 27 06:03:33 GMT 2023","6442","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [10] ar/, CYSEC, cboe-volatility-index-index",""
"broken","Mon Mar 27 05:53:03 GMT 2023","Mon Mar 27 05:53:28 GMT 2023","25195","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [4] ar/, CYSEC, sp-500-index",""
"passed","Mon Mar 27 06:29:18 GMT 2023","Mon Mar 27 06:29:27 GMT 2023","9123","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBuy_SignUpFormWasAppear","Check 'Buy' button on trading instrument widget [19] ar/, CYSEC, australia-200-index",""
"broken","Mon Mar 27 06:44:36 GMT 2023","Mon Mar 27 06:44:42 GMT 2023","6287","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [25] ar/, CYSEC, cboe-volatility-index-futures-vxv21-index",""
"passed","Mon Mar 27 05:40:59 GMT 2023","Mon Mar 27 05:41:08 GMT 2023","9212","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [23] ar/, CYSEC, cboe-volatility-index-futures-jul-22-index",""
